epoch 5200:	pdl:1.11e+00 	 Rec:1.18e-01 	 Color:9.02e-02 	Time: 1.43
epoch 5250:	pdl:1.22e+00 	 Rec:1.18e-01 	 Color:8.74e-02 	Time: 1.40
epoch 5300:	pdl:1.19e+00 	 Rec:1.18e-01 	 Color:9.21e-02 	Time: 1.31
epoch 5350:	pdl:1.15e+00 	 Rec:1.18e-01 	 Color:9.27e-02 	Time: 1.31
epoch 5400:	pdl:1.11e+00 	 Rec:1.18e-01 	 Color:8.91e-02 	Time: 1.32
epoch 5450:	pdl:1.18e+00 	 Rec:1.18e-01 	 Color:9.06e-02 	Time: 1.33
epoch 5500:	pdl:1.14e+00 	 Rec:1.19e-01 	 Color:1.02e-01 	Time: 1.32
epoch 5550:	pdl:1.10e+00 	 Rec:1.20e-01 	 Color:8.92e-02 	Time: 1.37
epoch 5600:	pdl:1.14e+00 	 Rec:1.19e-01 	 Color:8.71e-02 	Time: 1.45
epoch 5650:	pdl:1.10e+00 	 Rec:1.18e-01 	 Color:8.00e-02 	Time: 1.45
epoch 5700:	pdl:1.09e+00 	 Rec:1.17e-01 	 Color:9.01e-02 	Time: 1.43
epoch 5750:	pdl:1.08e+00 	 Rec:1.18e-01 	 Color:8.18e-02 	Time: 1.49
epoch 5800:	pdl:1.16e+00 	 Rec:1.17e-01 	 Color:8.68e-02 	Time: 1.45
epoch 5850:	pdl:1.07e+00 	 Rec:1.19e-01 	 Color:8.85e-02 	Time: 1.40
epoch 5900:	pdl:1.15e+00 	 Rec:1.18e-01 	 Color:7.95e-02 	Time: 1.32
epoch 5950:	pdl:1.09e+00 	 Rec:1.18e-01 	 Color:7.98e-02 	Time: 1.32
epoch 6000:	pdl:1.19e+00 	 Rec:1.19e-01 	 Color:8.52e-02 	Time: 1.33
epoch 6050:	pdl:1.02e+00 	 Rec:1.18e-01 	 Color:8.44e-02 	Time: 1.34
epoch 6100:	pdl:1.12e+00 	 Rec:1.17e-01 	 Color:8.91e-02 	Time: 1.30
epoch 6150:	pdl:1.05e+00 	 Rec:1.38e-01 	 Color:8.43e-02 	Time: 1.31
epoch 6200:	pdl:1.15e+00 	 Rec:1.18e-01 	 Color:8.60e-02 	Time: 1.33
epoch 6250:	pdl:1.08e+00 	 Rec:1.18e-01 	 Color:8.67e-02 	Time: 1.32
epoch 6300:	pdl:1.21e+00 	 Rec:1.18e-01 	 Color:8.92e-02 	Time: 1.32
epoch 6350:	pdl:1.16e+00 	 Rec:1.18e-01 	 Color:8.87e-02 	Time: 1.33
epoch 6400:	pdl:1.05e+00 	 Rec:1.18e-01 	 Color:7.80e-02 	Time: 1.30
epoch 6450:	pdl:1.11e+00 	 Rec:1.17e-01 	 Color:8.04e-02 	Time: 1.30
epoch 6500:	pdl:1.18e+00 	 Rec:1.18e-01 	 Color:9.37e-02 	Time: 1.32
epoch 6550:	pdl:1.12e+00 	 Rec:1.19e-01 	 Color:8.88e-02 	Time: 1.33
epoch 6600:	pdl:1.09e+00 	 Rec:1.18e-01 	 Color:7.80e-02 	Time: 1.31
epoch 6650:	pdl:1.31e+00 	 Rec:1.18e-01 	 Color:8.90e-02 	Time: 1.34
epoch 6700:	pdl:1.11e+00 	 Rec:1.17e-01 	 Color:8.31e-02 	Time: 1.36
epoch 6750:	pdl:1.16e+00 	 Rec:1.18e-01 	 Color:8.33e-02 	Time: 1.35
epoch 6800:	pdl:1.14e+00 	 Rec:1.18e-01 	 Color:9.08e-02 	Time: 1.43
epoch 6850:	pdl:1.28e+00 	 Rec:1.18e-01 	 Color:1.03e-01 	Time: 1.45
epoch 6900:	pdl:1.09e+00 	 Rec:1.17e-01 	 Color:9.96e-02 	Time: 1.44
epoch 6950:	pdl:1.10e+00 	 Rec:1.18e-01 	 Color:8.56e-02 	Time: 1.48
epoch 7000:	pdl:1.13e+00 	 Rec:1.18e-01 	 Color:8.32e-02 	Time: 1.45
epoch 7050:	pdl:1.06e+00 	 Rec:1.18e-01 	 Color:8.11e-02 	Time: 1.41
epoch 7100:	pdl:1.18e+00 	 Rec:1.18e-01 	 Color:9.15e-02 	Time: 1.45
epoch 7150:	pdl:1.11e+00 	 Rec:1.19e-01 	 Color:9.06e-02 	Time: 1.46
epoch 7200:	pdl:1.06e+00 	 Rec:1.18e-01 	 Color:8.18e-02 	Time: 1.43
