epoch 4350:	pdl:6.41e-01 	 Rec:7.96e-04 	 Color:2.05e-05 	Time: 0.36
epoch 4400:	pdl:5.98e-01 	 Rec:5.55e-04 	 Color:1.32e-05 	Time: 0.35
epoch 4450:	pdl:6.36e-01 	 Rec:6.50e-04 	 Color:1.42e-05 	Time: 0.35
epoch 4500:	pdl:6.05e-01 	 Rec:5.16e-04 	 Color:1.96e-05 	Time: 0.35
epoch 4550:	pdl:6.54e-01 	 Rec:3.60e-04 	 Color:1.93e-05 	Time: 0.35
epoch 4600:	pdl:6.36e-01 	 Rec:1.16e-03 	 Color:1.39e-05 	Time: 0.35
epoch 4650:	pdl:6.29e-01 	 Rec:1.51e-03 	 Color:6.98e-06 	Time: 0.35
epoch 4700:	pdl:6.83e-01 	 Rec:1.68e-03 	 Color:1.08e-05 	Time: 0.35
epoch 4750:	pdl:6.64e-01 	 Rec:6.02e-04 	 Color:1.38e-05 	Time: 0.37
epoch 4800:	pdl:5.95e-01 	 Rec:6.41e-04 	 Color:7.85e-06 	Time: 0.35
epoch 4850:	pdl:6.18e-01 	 Rec:7.37e-04 	 Color:6.75e-06 	Time: 0.36
epoch 4900:	pdl:6.95e-01 	 Rec:1.66e-03 	 Color:9.75e-06 	Time: 0.36
epoch 4950:	pdl:6.15e-01 	 Rec:4.01e-04 	 Color:1.21e-05 	Time: 0.35
epoch 5000:	pdl:6.40e-01 	 Rec:6.27e-04 	 Color:9.72e-06 	Time: 0.36
epoch 5050:	pdl:6.00e-01 	 Rec:4.07e-04 	 Color:1.31e-05 	Time: 0.36
epoch 5100:	pdl:5.89e-01 	 Rec:6.36e-04 	 Color:1.60e-05 	Time: 0.37
epoch 5150:	pdl:6.68e-01 	 Rec:9.79e-04 	 Color:1.23e-05 	Time: 0.36
epoch 5200:	pdl:6.59e-01 	 Rec:6.16e-04 	 Color:1.22e-05 	Time: 0.35
epoch 5250:	pdl:6.43e-01 	 Rec:1.00e-03 	 Color:1.83e-05 	Time: 0.38
epoch 5300:	pdl:6.45e-01 	 Rec:1.85e-03 	 Color:2.44e-05 	Time: 0.36
epoch 5350:	pdl:6.39e-01 	 Rec:9.74e-04 	 Color:1.40e-05 	Time: 0.41
epoch 5400:	pdl:6.09e-01 	 Rec:1.51e-03 	 Color:1.06e-05 	Time: 0.34
epoch 5450:	pdl:6.14e-01 	 Rec:7.77e-04 	 Color:1.28e-05 	Time: 0.35
epoch 5500:	pdl:6.07e-01 	 Rec:9.06e-04 	 Color:8.96e-06 	Time: 0.35
epoch 5550:	pdl:6.39e-01 	 Rec:4.58e-04 	 Color:2.29e-05 	Time: 0.35
epoch 5600:	pdl:5.83e-01 	 Rec:4.78e-04 	 Color:9.52e-06 	Time: 0.35
epoch 5650:	pdl:6.12e-01 	 Rec:5.04e-04 	 Color:9.91e-06 	Time: 0.35
epoch 5700:	pdl:6.25e-01 	 Rec:3.54e-04 	 Color:1.23e-05 	Time: 0.35
epoch 5750:	pdl:6.66e-01 	 Rec:5.83e-04 	 Color:1.11e-05 	Time: 0.36
epoch 5800:	pdl:6.38e-01 	 Rec:1.53e-03 	 Color:1.25e-05 	Time: 0.35
epoch 5850:	pdl:6.23e-01 	 Rec:6.49e-04 	 Color:1.94e-05 	Time: 0.35
epoch 5900:	pdl:6.14e-01 	 Rec:3.25e-04 	 Color:1.22e-05 	Time: 0.35
epoch 5950:	pdl:5.99e-01 	 Rec:4.11e-04 	 Color:1.10e-05 	Time: 0.35
epoch 6000:	pdl:5.94e-01 	 Rec:4.73e-04 	 Color:1.18e-05 	Time: 0.35
epoch 6050:	pdl:5.88e-01 	 Rec:3.24e-04 	 Color:1.29e-05 	Time: 0.36
epoch 6100:	pdl:5.88e-01 	 Rec:9.52e-04 	 Color:1.15e-05 	Time: 0.35
epoch 6150:	pdl:5.84e-01 	 Rec:3.94e-04 	 Color:1.41e-05 	Time: 0.35
epoch 6200:	pdl:5.84e-01 	 Rec:7.59e-04 	 Color:1.42e-05 	Time: 0.35
epoch 6250:	pdl:6.27e-01 	 Rec:4.66e-04 	 Color:1.43e-05 	Time: 0.35
epoch 6300:	pdl:6.50e-01 	 Rec:9.19e-04 	 Color:9.81e-06 	Time: 0.38
epoch 6350:	pdl:5.87e-01 	 Rec:9.22e-04 	 Color:1.52e-05 	Time: 0.36
epoch 6400:	pdl:5.89e-01 	 Rec:5.37e-04 	 Color:1.56e-05 	Time: 0.36
epoch 6450:	pdl:6.16e-01 	 Rec:4.57e-04 	 Color:1.43e-05 	Time: 0.36
epoch 6500:	pdl:6.86e-01 	 Rec:1.26e-03 	 Color:1.74e-05 	Time: 0.36
epoch 6550:	pdl:6.69e-01 	 Rec:2.72e-04 	 Color:1.40e-05 	Time: 0.36
epoch 6600:	pdl:7.19e-01 	 Rec:1.79e-04 	 Color:1.54e-05 	Time: 0.35
