epoch 6550:	pdl:2.53e-01 	 Rec:3.52e-02 	Time: 2.04
epoch 6600:	pdl:2.53e-01 	 Rec:3.56e-02 	Time: 2.04
epoch 6650:	pdl:2.56e-01 	 Rec:3.23e-02 	Time: 2.14
epoch 6700:	pdl:2.31e-01 	 Rec:3.41e-02 	Time: 2.08
epoch 6750:	pdl:2.40e-01 	 Rec:3.59e-02 	Time: 2.08
epoch 6800:	pdl:2.32e-01 	 Rec:3.38e-02 	Time: 2.08
epoch 6850:	pdl:2.56e-01 	 Rec:3.37e-02 	Time: 2.06
epoch 6900:	pdl:2.47e-01 	 Rec:3.54e-02 	Time: 2.13
epoch 6950:	pdl:2.58e-01 	 Rec:3.10e-02 	Time: 2.03
epoch 7000:	pdl:2.47e-01 	 Rec:3.18e-02 	Time: 2.09
epoch 7050:	pdl:2.26e-01 	 Rec:3.39e-02 	Time: 2.10
epoch 7100:	pdl:2.39e-01 	 Rec:3.20e-02 	Time: 2.08
epoch 7150:	pdl:2.61e-01 	 Rec:3.33e-02 	Time: 2.08
epoch 7200:	pdl:2.49e-01 	 Rec:3.15e-02 	Time: 2.07
epoch 7250:	pdl:2.64e-01 	 Rec:3.27e-02 	Time: 2.03
epoch 7300:	pdl:2.44e-01 	 Rec:3.10e-02 	Time: 2.10
epoch 7350:	pdl:2.51e-01 	 Rec:3.62e-02 	Time: 2.13
epoch 7400:	pdl:2.39e-01 	 Rec:3.23e-02 	Time: 2.05
epoch 7450:	pdl:2.64e-01 	 Rec:3.37e-02 	Time: 2.11
epoch 7500:	pdl:2.39e-01 	 Rec:3.32e-02 	Time: 2.06
epoch 7550:	pdl:2.67e-01 	 Rec:3.19e-02 	Time: 2.13
epoch 7600:	pdl:2.61e-01 	 Rec:3.17e-02 	Time: 2.05
epoch 7650:	pdl:2.39e-01 	 Rec:3.52e-02 	Time: 2.06
epoch 7700:	pdl:2.27e-01 	 Rec:3.21e-02 	Time: 2.07
epoch 7750:	pdl:2.46e-01 	 Rec:3.23e-02 	Time: 2.05
epoch 7800:	pdl:2.42e-01 	 Rec:3.11e-02 	Time: 1.99
epoch 7850:	pdl:2.37e-01 	 Rec:3.08e-02 	Time: 2.24
epoch 7900:	pdl:2.54e-01 	 Rec:3.22e-02 	Time: 2.10
epoch 7950:	pdl:2.54e-01 	 Rec:3.22e-02 	Time: 2.12
epoch 8000:	pdl:2.35e-01 	 Rec:6.12e-02 	Time: 2.07
epoch 8050:	pdl:2.49e-01 	 Rec:3.03e-02 	Time: 2.08
epoch 8100:	pdl:2.35e-01 	 Rec:3.03e-02 	Time: 2.05
epoch 8150:	pdl:2.53e-01 	 Rec:2.90e-02 	Time: 2.28
epoch 8200:	pdl:2.28e-01 	 Rec:3.20e-02 	Time: 2.12
epoch 8250:	pdl:2.57e-01 	 Rec:3.07e-02 	Time: 2.07
epoch 8300:	pdl:2.57e-01 	 Rec:3.20e-02 	Time: 2.08
epoch 8350:	pdl:2.55e-01 	 Rec:2.90e-02 	Time: 2.09
epoch 8400:	pdl:2.29e-01 	 Rec:3.24e-02 	Time: 2.10
epoch 8450:	pdl:2.26e-01 	 Rec:3.37e-02 	Time: 2.14
epoch 8500:	pdl:2.33e-01 	 Rec:2.98e-02 	Time: 2.09
epoch 8550:	pdl:2.37e-01 	 Rec:3.00e-02 	Time: 2.06
epoch 8600:	pdl:3.42e-01 	 Rec:3.41e-02 	Time: 2.09
epoch 8650:	pdl:2.48e-01 	 Rec:2.91e-02 	Time: 2.08
epoch 8700:	pdl:2.39e-01 	 Rec:4.90e-02 	Time: 1.94
epoch 8750:	pdl:2.44e-01 	 Rec:2.96e-02 	Time: 2.14
epoch 8800:	pdl:2.27e-01 	 Rec:3.41e-02 	Time: 2.10
epoch 8850:	pdl:2.37e-01 	 Rec:2.78e-02 	Time: 2.13
epoch 8900:	pdl:2.32e-01 	 Rec:3.57e-02 	Time: 2.09
epoch 8950:	pdl:2.26e-01 	 Rec:3.16e-02 	Time: 2.12
epoch 9000:	pdl:2.29e-01 	 Rec:2.88e-02 	Time: 2.13
epoch 9050:	pdl:2.47e-01 	 Rec:2.96e-02 	Time: 2.15
epoch 9100:	pdl:2.41e-01 	 Rec:3.19e-02 	Time: 2.05
epoch 9150:	pdl:2.28e-01 	 Rec:2.81e-02 	Time: 2.07
epoch 9200:	pdl:2.38e-01 	 Rec:3.28e-02 	Time: 2.08
epoch 9250:	pdl:2.35e-01 	 Rec:2.94e-02 	Time: 2.10
epoch 9300:	pdl:2.38e-01 	 Rec:2.77e-02 	Time: 2.11
epoch 9350:	pdl:2.68e-01 	 Rec:2.85e-02 	Time: 2.16
epoch 9400:	pdl:2.49e-01 	 Rec:2.99e-02 	Time: 2.09
epoch 9450:	pdl:2.59e-01 	 Rec:2.99e-02 	Time: 2.09
epoch 9500:	pdl:2.43e-01 	 Rec:2.80e-02 	Time: 2.07
epoch 9550:	pdl:2.42e-01 	 Rec:2.64e-02 	Time: 2.08
epoch 9600:	pdl:2.34e-01 	 Rec:3.02e-02 	Time: 2.03
epoch 9650:	pdl:2.51e-01 	 Rec:2.69e-02 	Time: 2.06
epoch 9700:	pdl:2.31e-01 	 Rec:3.09e-02 	Time: 2.07
epoch 9750:	pdl:2.40e-01 	 Rec:3.17e-02 	Time: 2.10
epoch 9800:	pdl:2.35e-01 	 Rec:2.90e-02 	Time: 2.08
epoch 9850:	pdl:2.96e-01 	 Rec:2.88e-02 	Time: 2.11
epoch 9900:	pdl:2.40e-01 	 Rec:2.94e-02 	Time: 2.06
epoch 9950:	pdl:2.63e-01 	 Rec:3.03e-02 	Time: 2.07
epoch 10000:	pdl:2.48e-01 	 Rec:2.83e-02 	Time: 2.09
epoch 10050:	pdl:2.40e-01 	 Rec:4.93e-02 	Time: 2.09
epoch 10100:	pdl:2.51e-01 	 Rec:1.36e-01 	Time: 2.08
epoch 10150:	pdl:2.49e-01 	 Rec:2.77e-02 	Time: 2.12
