epoch 5900:	style:4.37e-03 	 Rec:2.45e-03 	Time: 0.88
epoch 5950:	style:4.41e-03 	 Rec:1.54e-03 	Time: 0.88
epoch 6000:	style:6.32e-03 	 Rec:3.28e-03 	Time: 0.89
epoch 6050:	style:4.75e-03 	 Rec:2.59e-03 	Time: 0.89
epoch 6100:	style:4.76e-03 	 Rec:1.67e-03 	Time: 0.88
epoch 6150:	style:5.53e-03 	 Rec:3.71e-03 	Time: 0.88
epoch 6200:	style:4.03e-03 	 Rec:1.37e-03 	Time: 0.88
epoch 6250:	style:5.40e-03 	 Rec:1.90e-03 	Time: 0.88
epoch 6300:	style:4.90e-03 	 Rec:2.04e-03 	Time: 0.89
epoch 6350:	style:3.82e-03 	 Rec:1.28e-03 	Time: 0.90
epoch 6400:	style:4.48e-03 	 Rec:2.42e-03 	Time: 0.88
epoch 6450:	style:4.73e-03 	 Rec:2.40e-03 	Time: 0.88
epoch 6500:	style:3.26e-03 	 Rec:1.49e-03 	Time: 0.88
epoch 6550:	style:5.02e-03 	 Rec:1.96e-03 	Time: 0.88
epoch 6600:	style:4.64e-03 	 Rec:2.31e-03 	Time: 0.88
epoch 6650:	style:5.20e-03 	 Rec:1.80e-03 	Time: 0.89
epoch 6700:	style:4.78e-03 	 Rec:1.62e-03 	Time: 0.88
epoch 6750:	style:4.78e-03 	 Rec:1.69e-03 	Time: 0.88
epoch 6800:	style:4.90e-03 	 Rec:2.31e-03 	Time: 0.88
epoch 6850:	style:4.12e-03 	 Rec:2.74e-03 	Time: 0.88
epoch 6900:	style:4.72e-03 	 Rec:1.50e-03 	Time: 0.88
epoch 6950:	style:3.74e-03 	 Rec:1.84e-03 	Time: 0.89
epoch 7000:	style:4.66e-03 	 Rec:1.45e-03 	Time: 0.88
epoch 7050:	style:4.30e-03 	 Rec:1.70e-03 	Time: 0.88
epoch 7100:	style:3.97e-03 	 Rec:1.66e-03 	Time: 0.88
epoch 7150:	style:3.93e-03 	 Rec:1.49e-03 	Time: 0.88
epoch 7200:	style:4.86e-03 	 Rec:2.25e-03 	Time: 0.88
epoch 7250:	style:4.36e-03 	 Rec:1.88e-03 	Time: 0.89
epoch 7300:	style:4.77e-03 	 Rec:1.31e-03 	Time: 0.88
epoch 7350:	style:3.97e-03 	 Rec:2.08e-03 	Time: 0.89
epoch 7400:	style:5.55e-03 	 Rec:1.81e-03 	Time: 0.90
epoch 7450:	style:4.98e-03 	 Rec:1.70e-03 	Time: 0.90
epoch 7500:	style:3.79e-03 	 Rec:1.82e-03 	Time: 0.88
epoch 7550:	style:4.23e-03 	 Rec:1.24e-03 	Time: 0.90
epoch 7600:	style:5.41e-03 	 Rec:1.75e-03 	Time: 0.89
epoch 7650:	style:5.69e-03 	 Rec:2.25e-03 	Time: 0.89
epoch 7700:	style:6.74e-03 	 Rec:1.75e-03 	Time: 0.89
epoch 7750:	style:4.71e-03 	 Rec:1.71e-03 	Time: 0.89
epoch 7800:	style:4.32e-03 	 Rec:1.92e-03 	Time: 0.89
epoch 7850:	style:4.67e-03 	 Rec:2.90e-03 	Time: 0.89
epoch 7900:	style:5.24e-03 	 Rec:1.35e-03 	Time: 0.88
epoch 7950:	style:5.71e-03 	 Rec:3.17e-03 	Time: 0.89
epoch 8000:	style:3.84e-03 	 Rec:1.70e-03 	Time: 0.89
epoch 8050:	style:4.71e-03 	 Rec:1.81e-03 	Time: 0.89
epoch 8100:	style:5.76e-03 	 Rec:1.97e-03 	Time: 0.89
epoch 8150:	style:3.88e-03 	 Rec:1.43e-03 	Time: 0.90
epoch 8200:	style:4.49e-03 	 Rec:1.75e-03 	Time: 0.88
epoch 8250:	style:6.06e-03 	 Rec:1.47e-03 	Time: 0.89
epoch 8300:	style:6.95e-03 	 Rec:2.41e-03 	Time: 0.88
epoch 8350:	style:4.65e-03 	 Rec:3.39e-03 	Time: 0.89
epoch 8400:	style:3.66e-03 	 Rec:1.70e-03 	Time: 0.89
epoch 8450:	style:5.01e-03 	 Rec:2.05e-03 	Time: 0.89
