epoch 5700:	pdl:1.08e-01 	 Rec:1.06e-03 	Time: 1.50
epoch 5750:	pdl:1.26e-01 	 Rec:8.96e-04 	Time: 1.49
epoch 5800:	pdl:9.46e-02 	 Rec:1.06e-03 	Time: 1.52
epoch 5850:	pdl:1.15e-01 	 Rec:1.48e-03 	Time: 1.58
epoch 5900:	pdl:1.18e-01 	 Rec:1.21e-03 	Time: 1.53
epoch 5950:	pdl:1.18e-01 	 Rec:9.80e-04 	Time: 1.51
epoch 6000:	pdl:1.09e-01 	 Rec:1.00e-03 	Time: 1.53
epoch 6050:	pdl:1.05e-01 	 Rec:9.41e-04 	Time: 1.52
epoch 6100:	pdl:1.02e-01 	 Rec:8.32e-04 	Time: 1.53
epoch 6150:	pdl:1.19e-01 	 Rec:9.62e-04 	Time: 1.52
epoch 6200:	pdl:8.63e-02 	 Rec:9.29e-04 	Time: 1.54
